Minnesota,11/11/2011,58,70,Away,,-,"11,976"
Vanderbilt,11/15/2011,68,80,Away,,-,"12,543"
Saint Francis (PA),11/19/2011,73,42,Home,,-,"3,242"
Marist,11/22/2011,74,68,Away,,-,"1,168"
Princeton,11/25/2011,62,56,Home,,-,"2,488"
West Ala.,11/26/2011,87,50,Home,,-,"2,185"
Morehead St.,11/27/2011,54,50,Home,,-,"2,256"
George Mason,11/30/2011,57,61,Away,,-,"5,057"
La Salle,12/03/2011,52,78,Away,,-,"1,823"
Binghamton,12/06/2011,77,63,Away,,-,"2,078"
Richmond,12/17/2011,79,65,Home,,-,"3,140"
Syracuse,12/20/2011,61,80,Away,,-,"17,302"
Boston U.,12/22/2011,75,61,Away,,-,703
Loyola Maryland,12/28/2011,67,72,Home,,-,"3,348"
Cornell,12/31/2011,63,60,Home,,-,"2,649"
Dartmouth,01/03/2012,67,59,Away,,-,744
Army,01/07/2012,75,59,Away,,-,"1,357"
Colgate,01/11/2012,70,57,Home,,-,"2,416"
Lafayette,01/14/2012,79,65,Away,,-,"2,515"
Lehigh,01/18/2012,68,61,Away,,-,"1,795"
Holy Cross,01/21/2012,75,41,Home,,-,"3,983"
American,01/25/2012,67,61,Home,,-,"2,867"
Navy,01/28/2012,66,51,Away,,-,"3,718"
Army,02/04/2012,81,68,Home,,-,"3,769"
Colgate,02/08/2012,66,50,Away,,-,584
Lafayette,02/11/2012,90,78,Home,,-,"3,482"
Lehigh,02/16/2012,53,56,Home,,-,"3,347"
Holy Cross,02/18/2012,52,54,Away,,-,"3,372"
American,02/23/2012,55,50,Away,,-,"1,653"
Navy,02/25/2012,64,55,Home,,-,"3,894"
Navy,02/29/2012,87,63,Home,,-,"2,709"
Lafayette,03/03/2012,79,52,Home,,-,"3,823"
Lehigh,03/07/2012,77,82,Home,,-,"4,267"
Arizona,03/14/2012,65,54,Away,,-,"8,433"
Nevada,03/18/2012,67,75,Away,,-,"6,927"
