Texas Lutheran,11/10/2012,60,49,Home,,-,"1,609"
Denver,11/14/2012,51,68,Away,,-,"4,777"
Utah St.,11/17/2012,68,77,Away,,-,"9,673"
Houston,11/25/2012,75,77,Home,,-,"1,194"
Toledo,11/28/2012,68,80,Away,,-,"3,689"
Iowa,12/01/2012,59,88,Away,,-,"12,628"
South Ala.,12/16/2012,69,74,Away,,-,"1,764"
Texas A&M,12/18/2012,54,66,Away,,-,"4,648"
UTSA,12/21/2012,45,75,Home,,-,"1,266"
Stephen F. Austin,12/29/2012,56,67,Home,,-,"1,095"
Oklahoma,12/31/2012,42,72,Away,,-,"2,751"
Sam Houston St.,01/04/2013,57,61,Away,,-,492
McNeese St.,01/10/2013,71,75,Away,,-,584
Lamar,01/12/2013,62,56,Away,,-,"2,390"
Oral Roberts,01/17/2013,52,64,Home,,-,"1,076"
Central Ark.,01/19/2013,67,76,Home,,-,"1,043"
Nicholls St.,01/24/2013,62,69,Away,,-,"1,530"
Southeastern La.,01/26/2013,53,67,Away,,-,"1,043"
Sam Houston St.,02/02/2013,51,55,Home,,-,537
Lamar,02/07/2013,63,67,Home,,-,"1,428"
McNeese St.,02/09/2013,61,58,Home,,-,"1,873"
Central Ark.,02/14/2013,75,68,Away,,-,727
Oral Roberts,02/16/2013,51,56,Away,,-,"6,203"
Northwestern St.,02/19/2013,71,82,Home,,-,"1,336"
Cal St. Fullerton,02/23/2013,57,63,Home,,-,381
Southeastern La.,02/28/2013,78,64,Home,,-,"1,019"
Nicholls St.,03/02/2013,68,64,Home,,-,"1,333"
Northwestern St.,03/07/2013,51,66,Away,,-,"2,103"
Stephen F. Austin,03/09/2013,49,58,Away,,-,"2,013"
