Oklahoma St.,11/09/2007,48,104,Away,,-,"12,960"
Schreiner,11/14/2007,88,59,Home,,-,"1,245"
Tennessee,11/16/2007,75,89,Away,,-,"18,846"
West Virginia,11/18/2007,41,106,Away,,-,"5,933"
Norfolk St.,11/26/2007,76,71,Home,,-,"1,258"
Texas St.,11/29/2007,78,79,Home,,-,"1,147"
Air Force,12/08/2007,53,77,Away,,-,"2,783"
New Mexico St.,12/11/2007,43,80,Away,,-,"5,071"
Utah St.,12/15/2007,51,77,Away,,-,"6,303"
SMU,12/20/2007,49,57,Away,,-,"2,132"
TCU,12/22/2007,80,92,Away,,-,"3,242"
Baylor,12/29/2007,71,108,Away,,-,"5,106"
Southern U.,01/05/2008,63,70,Home,,-,587
Alcorn St.,01/07/2008,62,77,Home,,-,475
Texas Southern,01/12/2008,65,70,Away,,-,"4,133"
Jackson St.,01/19/2008,82,72,Away,,-,863
Grambling,01/21/2008,76,69,Away,,-,"1,096"
Ark.-Pine Bluff,01/26/2008,68,75,Home,,-,"2,758"
Mississippi Val.,01/28/2008,55,53,Home,,-,"1,865"
Alabama A&M,02/02/2008,62,74,Away,,-,"1,238"
Alabama St.,02/04/2008,86,98,Away,,-,"1,865"
Texas Southern,02/09/2008,54,63,Home,,-,"5,489"
Jackson St.,02/16/2008,84,75,Home,,-,"1,875"
Grambling,02/18/2008,88,78,Home,,-,"5,027"
Ark.-Pine Bluff,02/23/2008,54,70,Away,,-,845
Mississippi Val.,02/25/2008,59,63,Away,,-,"1,022"
Alabama A&M,03/01/2008,62,72,Home,,-,150
Alabama St.,03/03/2008,57,61,Home,,-,"1,248"
Southern U.,03/06/2008,64,76,Away,,-,963
Alcorn St.,03/08/2008,83,71,Away,,-,100
