La Verne,11/11/2007,97,55,Home,,-,"1,706"
New Mexico St.,11/14/2007,65,75,Away,,-,"3,138"
Texas,11/16/2007,42,73,Away,,-,"10,792"
UC Santa Cruz,11/18/2007,71,49,Home,,-,"1,046"
Nicholls St.,11/21/2007,69,67,Home,,-,417
Portland St.,11/24/2007,76,68,Home,,-,848
Brown,12/01/2007,57,73,Away,,-,"1,726"
Dartmouth,12/03/2007,67,70,Away,,-,503
Oregon St.,12/07/2007,59,73,Home,,-,"5,776"
Presbyterian,12/17/2007,76,63,Home,,-,775
Jackson St.,12/21/2007,57,81,Away,,-,106
UCLA,12/29/2007,48,76,Away,,-,"10,242"
CSU Bakersfield,01/02/2008,62,59,Away,,-,"1,789"
UC Riverside,01/04/2008,58,54,Home,,-,877
Cal St. Northridge,01/10/2008,47,82,Away,,-,"1,007"
Long Beach St.,01/12/2008,53,71,Away,,-,"1,584"
UC Irvine,01/17/2008,74,57,Home,,-,"2,478"
Cal St. Fullerton,01/19/2008,66,88,Home,,-,"1,877"
Cal Poly,01/24/2008,67,79,Away,,-,"1,642"
UC Santa Barbara,01/26/2008,45,60,Away,,-,"2,054"
Pacific,02/03/2008,67,72,Home,,-,"3,655"
Long Beach St.,02/07/2008,52,63,Home,,-,"1,088"
Cal St. Northridge,02/09/2008,57,77,Home,,-,"1,018"
Cal St. Fullerton,02/14/2008,74,94,Away,,-,602
UC Santa Barbara,02/16/2008,73,77,Home,,-,"1,668"
Cal Poly,02/20/2008,58,66,Home,,-,775
Loyola Maryland,02/23/2008,64,67,Away,,-,"1,386"
Pacific,02/28/2008,50,95,Away,,-,"3,164"
Sacramento St.,03/01/2008,83,77,Home,,-,"3,477"
UC Irvine,03/06/2008,62,79,Away,,-,"1,281"
UC Riverside,03/08/2008,66,75,Away,,-,357
