Kansas St.,11/09/2007,63,94,Away,,-,"12,496"
Simpson,11/12/2007,104,71,Home,,-,451
Southern Utah,11/14/2007,53,57,Home,,-,523
San Francisco,11/17/2007,63,93,Away,,-,"1,456"
Pacific,11/21/2007,62,75,Away,,-,"2,822"
Santa Clara,11/25/2007,65,77,Home,,-,701
Stanford,11/27/2007,58,84,Away,,-,"7,329"
William Jessup,12/04/2007,72,54,Home,,-,559
Oregon,12/11/2007,66,93,Away,,-,"8,125"
Marquette,12/15/2007,51,82,Away,,-,"13,673"
Northern Colo.,12/28/2007,60,74,Away,,-,971
Portland St.,01/03/2008,58,83,Away,,-,662
Eastern Wash.,01/05/2008,52,76,Away,,-,"1,501"
Montana St.,01/10/2008,78,77,Home,,-,533
Montana,01/12/2008,69,76,Home,,-,629
CSU Bakersfield,01/15/2008,61,73,Home,,-,508
Northern Ariz.,01/19/2008,69,80,Home,,-,646
Weber St.,01/23/2008,56,69,Away,,-,"2,640"
Idaho St.,01/25/2008,63,86,Away,,-,"2,343"
Northern Colo.,02/02/2008,74,70,Home,,-,530
Eastern Wash.,02/07/2008,57,59,Home,,-,651
Portland St.,02/09/2008,56,79,Home,,-,703
Montana,02/14/2008,57,90,Away,,-,"3,354"
Montana St.,02/17/2008,82,87,Away,,-,"5,038"
Northern Ariz.,02/21/2008,59,73,Away,,-,"1,149"
Idaho St.,02/28/2008,51,52,Home,,-,510
UC Davis,03/01/2008,77,83,Away,,-,"3,477"
Weber St.,03/03/2008,69,89,Home,,-,639
