Memphis,11/12/2010,40,104,Away,,-,"17,792"
UT Martin,11/15/2010,56,79,Away,,-,"1,117"
Ark.-Monticello,11/17/2010,70,82,Home,,-,662
Tulane,11/19/2010,36,77,Away,,-,"2,239"
Northwestern St.,11/22/2010,70,83,Home,,-,792
LSU,11/24/2010,36,78,Away,,-,"6,742"
Northwestern St.,11/30/2010,55,82,Away,,-,"1,442"
IUPUI,12/02/2010,69,77,Away,,-,"1,025"
Western Ill.,12/04/2010,51,57,Away,,-,702
Ark.-Monticello,12/07/2010,62,71,Away,,-,352
La.-Monroe,12/11/2010,46,60,Away,,-,857
Marquette,12/18/2010,52,81,Away,,-,"14,116"
Wyoming,12/20/2010,49,76,Away,,-,"3,786"
Oakland,12/28/2010,71,98,Home,,-,661
IPFW,12/30/2010,51,83,Home,,-,294
South Dakota St.,01/06/2011,62,86,Away,,-,"1,319"
North Dakota St.,01/08/2011,60,76,Away,,-,"2,958"
UMKC,01/13/2011,67,71,Home,,-,499
Southern Utah,01/15/2011,75,88,Home,,-,317
La.-Lafayette,01/19/2011,62,94,Away,,-,"2,112"
Oral Roberts,01/22/2011,65,78,Away,,-,"3,466"
IPFW,01/27/2011,66,76,Away,,-,"1,475"
Oakland,01/29/2011,70,100,Away,,-,"3,675"
North Dakota St.,02/03/2011,63,83,Home,,-,498
South Dakota St.,02/05/2011,73,102,Home,,-,"1,018"
Southern Utah,02/10/2011,49,70,Away,,-,"2,326"
UMKC,02/12/2011,58,91,Away,,-,"1,124"
Oral Roberts,02/15/2011,61,81,Home,,-,391
Western Ill.,02/24/2011,73,60,Home,,-,465
IUPUI,02/26/2011,57,78,Home,,-,247
